id,description,amount,yes,no,type,source,category,outro,dependency,altYes,altNo,month,pauschal,FALSE,,Funktionalität,,,,,,,,
53,Morgen beginnt die Schule.Tradition: Zur Feier des Tages Pizza bestellen?,-50,Aye!,Nay!,chance,,leisure,Die Pizza-Tradition wurde gestrichen.,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
54,Sackgeld für die Kinder,-55,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
55,Sackgeld für die Kinder,-57,,,event,,media,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
56,Fitnessabo ,-40,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
57,"Ihre Kinder wollen schon lange eine Katze. Tierarzt, Futter und Chip gehen ins Geld.",-260,"Ja, Katze!","Nein, nein, nein! Keine Katze!",chance,https://www.comparis.ch/tierversicherung/haustier/analyse/was-kostet-eine-katze,life,Sie haben Ihren Kindern den Katzen-Wunsch nicht erfüllt.,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
58,Wanderausflug am Wochenende,-80,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
59,Kleider für die Kinder,-50,,,event,,clothing,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
60,Fahrrad reparieren,-60,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
61,Silvana will mit Ihnen an einen FCZ-Fussballmatch (mit KulturLegi),-20,Ja.,Nein.,chance,,leisure,Sie haben den FCZ-Match sausen lassen.,25,109,110,4,-57.88,TRUE,,TRUE,,,,,,,,
62,Geburtstags- geschenk für Luca,-80,,,event,,leisure,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
63,Mehrausgaben Essen,-50,,,event,,life,,,,,4,-57.88,TRUE,,FALSE,,,,,,,,
64,Wettkampf Luca in Biel (mit Halbtax),-46,,,event,,mobility,,5,106,107,4,-57.88,TRUE,-121.95,TRUE,,,,,,,,
65,September,1834,,,start,,start,,,,,5,-57.875,TRUE,,FALSE,,,,,,,,
66,Drei Handy-Abos,-50,,,event,,media,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
67,Sackgeld für die Kinder,-57,,,event,,life,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
68,"Internet, Telefon und TV",-50,,,event,,media,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
69,Ihre Kinder wollen den Grossvater in Bern besuchen. Dürfen sie?,-106,"Ja, er freut sich sicher. ","Nein, er hat sicher schon viel los.",chance,,mobility,Die Kinder haben den Grossvater nicht besucht. ,,,,5,-57.88,FALSE,,FALSE,,,,,,,,
70,Occasions-Laptop für Silvana,-600,,,event,,media,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
71,Termin in Rapperswil (mit Halbtax),-17.2,,,event,,mobility,,5,111,112,5,-57.88,TRUE,,TRUE,,,,,,,,
72,Neue Schuhe,-55,,,event,,clothing,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
73,Zirkus Monti mit Luca hat Tradition. Auch dieses Jahr?,-56,Tradition ist Tradition!,"Sorry, das wird zu knapp. ",chance,https://circus-monti.ch/tickets/sitzplan/,leisure,Sie haben die Zirkus-Monti-Tradition gestrichen.,,,,5,-57.88,FALSE,,FALSE,,,,,,,,
74,Samira Kosmetik,-30,,,event,,leisure,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
75,Katzenfutter und -streu,-60,,,event,,life,,57,113,114,5,-57.88,TRUE,,FALSE,,,,,,,,
76,Bibliothekskarte (mit KulturLegi),-40,,,event,https://www.pbz.ch/agb-gebuehren/,media,,24,115,116,5,-57.88,TRUE,,TRUE,,,,,,,,
77,Neues Fitnessabo?,-399,"Ja, das brauche ich.",Unmöglich!,chance,,leisure,Sie haben auf Ihr Fitnessabo verzichtet. ,,,,5,-57.88,FALSE,,FALSE,,,,,,,,
78,Neue Instrumentenkoffer für Kinder,-100,,,event,,life,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
79,Kleider für die Kinder,-70,,,event,,clothing,,,,,5,-57.88,TRUE,,FALSE,,,,,,,,
80,Mahngebühr Rechnungsverzug,-20,,,event,,life,,,,,5,-57.88,TRUE,-363.15,FALSE,,,,,,,,
81,Oktober,1834,,,start,,start,,,,,5,-57.875,TRUE,,FALSE,,,,,,,,
82,Drei Handy-Abos,-57,,,event,,media,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
83,Sackgeld für die Kinder,-57,,,event,,life,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
84,"Internet, Telefon und TV",-50,,,event,,media,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
85,"Verwandte aus Portugal wollen für eine Woche zu Besuch kommen. Mehr Essen, mehr Ausgaben.",-120,"Ja, sie sollen kommen!",Ein anderes Mal. Okay? ,chance,,life,Sie haben Ihre Familie nicht eingeladen.,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
86,Katzenfutter und -streu,-60,,,event,,life,,57,113,114,6,-57.88,TRUE,,FALSE,,,,,,,,
87,Winterjacke für Luca,-120,,,event,,clothing,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
88,Geburtagsgeschenk für den Vater,-50,,,event,,life,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
89,Silvana will unbedingt an das Konzert von Ariana Grande. Sie ist ein grosser Fan. ,-107.45,Ich erfülle ihr den Traum. ,Sorry. Nein. ,chance,https://www.hallenstadion.ch/events-tickets/2736/ariana-grande,leisure,Sie haben Ihrer Tochter den Konzertwunsch nicht erfüllt.,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
90,"Vergessen, die Mehrfahrtenkarte abzustempeln. Busse! ",-90,,,event,https://www.sbb.ch/de/bahnhof-services/dienstleistungen/kundendialog/reisen-ohne-gueltigen-fahrausweis/allgemeine-informationen.html,life,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
91,Hallenbad ganze Familie (mit KulturLegi),-16,,,event,,leisure,,25,119,120,6,-57.88,TRUE,,TRUE,,,,,,,,
92,Unterwäsche,-60,,,event,,clothing,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
93,Wollen Sie Ihre Cousine in Lausanne besuchen? (mit Halbtax),-75,"Ja, das wird toll.","Nein, bin gerade etwas erkältet.",chance,,mobility,Sie haben Ihre Cousine nicht besucht.,5,120,121,6,-57.875,TRUE,,TRUE,,,,,,,,
94,Lucas Skateboard ist kaputt.,-65,,,event,https://www.sport-thieme.ch/Freizeitspiele/Skateboarding/art=2160809?pe=w9_o9_googlech_gshopping&gclid=Cj0KCQjwnpXmBRDUARIsAEo71tTbZ_O9S3wsb4ohpACidZ93gsHn7pQs1bVJM4CcYfwElIkHhqvt_KEaAu7CEALw_wcB,leisure,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
95,Neues Backblech,-29.5,,,event,https://www.mediamarkt.ch/de/product/_wpro-n-a-1-backblech-44-5x37-5x3-2cm-1615041.html?rbtc=%7C%7C%7C%7Cp%7C%7C&gclid=Cj0KCQjwnpXmBRDUARIsAEo71tQ7FOkpoXuOcYozT9yW3_g_o2sIN1UDABHPQd6owsjSV0wmroX5fj8aAhBuEALw_wcB&gclsrc=aw.ds,life,,,,,6,-57.88,TRUE,-457.10,FALSE,,,,,,,,
96,Kosmetik,-45,,,event,,leisure,,,,,6,-57.88,TRUE,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
101,"Grossvater in Bern besuchen (mit Halbtax, mit Junior-Karte)",-53,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
102,"Grossvater in Bern besuchen (ohne Halbtax, mit Junior-Karte)",-106,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
104,Zoo mit den Kindern (mit KulturLegi),-26,,,event,,leisure,,,,,,-57.88,,,,,,,,,,,
105,Zoo mit den Kindern (ohne KulturLegi),-52,,,event,https://www.zoo.ch/de/zoobesuch/tickets-preise,leisure,,,,,,-57.88,,,,,,,,,,,
106,Wettkampf Luca in Biel (mit Halbtax),-46,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
107,Wettkampf Luca in Biel (ohne Halbtax),-92,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
109,Silvana will mit Ihnen an einen FCZ-Fussballmatch (mit KulturLegi),-20,Ja.,Nein.,chance,,leisure,Sie haben den FCZ-Match sausen lassen.,,,,,-57.88,,,,,,,,,,,
110,Silvana will mit Ihnen an einen FCZ-Fussballmatch (ohne KulturLegi),-40,Ja.,Nein.,chance,,leisure,Sie haben den FCZ-Match sausen lassen.,,,,,-57.88,,,,,,,,,,,
111,Termin in Rapperswil (mit Halbtax),-17.2,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
112,Termin in Rapperswil (ohne Halbtax),-34.4,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
113,Katzenfutter und -streu,-60,,,event,,life,,,,,,-57.88,,,,,,,,,,,
114,Döner Kebab mit Familie,-22,,,event,,leisure,,,,,,-57.88,,,,,,,,,,,
115,Bibliothekskarte (mit KulturLegi),-40,,,event,,media,,,,,,-57.88,,,,,,,,,,,
116,Bibliothekskarte (ohne KulturLegi),-65,,,event,,media,,,,,,-57.88,,,,,,,,,,,
117,Neue Fussballausrüstung für Silvana,-90,,,event,,clothing,,,,,,-57.88,,,,,,,,,,,
118,Reisepass Silvana,-65,,,event,,life,,,,,,-57.88,,,,,,,,,,,
119,Hallenbad ganze Familie (mit KulturLegi),-16,,,event,,leisure,,,,,,-57.88,,,,,,,,,,,
120,Hallenbad ganze Familie (ohne KulturLegi),-20,,,event,,leisure,,,,,,-57.88,,,,,,,,,,,
121,Wollen Sie Ihre Cousine in Lausanne besuchen? (mit Halbtax),-75,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
122,Wollen Sie Ihre Cousine in Lausanne besuchen? (ohne Halbtax),-152,,,event,,mobility,,,,,,-57.88,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,
