id,description,amount,yes,no,outro,type,source,category,dependency,altYes,altNo,month,pauschal,FALSE,,Funktionalität,,,,,,,,
21,YB-Fan: Sie möchten auch dieses Jahr an der Meisterfeier dabei sein. ,-30,Klar!,Nein. Vielleicht nächstes Jahr?,Sie haben die YB-Meisterfeier verpasst.,chance,,leisure,,,,2,-31.13,FALSE,,FALSE,,,,,,,,
22,Unterwäsche,-22,,,,event,,clothing,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
23,Bratwurst am Markt,-6,,,,event,,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
24,Schulden bei Freund Hugo,-50,,,,event,,life,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
25,Wollen Sie die KulturLegi beantragen? ,-10,Ja.,Nein.,Sie haben keine KulturLegi beantragt.,chance,,leisure,,,,2,-31.13,TRUE,,TRUE,,,,,,,,
26,Hundefutter,-60,,,,event,,life,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
27,Kaffee mit Tante,-5,,,,event,,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
28,Bewerbungen ausdrucken lassen,-5,,,,event,,life,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
29,Ihre Mutter lebt in einem Altersheim in Chur. Ihr geht es schlecht. Besuchen? (ohne Halbtax),-160,"Ja, schon auf dem Weg.","Sorry Mama, gerade sehr viel zu tun.",Sie haben Ihre kranke Mutter nicht besucht.,chance,,mobility,13,109,110,2,-31.13,FALSE,,TRUE,,,,,,,,
30,Drei T-Shirts,-13.5,,,,event,,clothing,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
31,CDs aus dem Brockenhaus,-15,,,,event,,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,
32,Kino,-15,,,,event,,leisure,,,,2,-31.13,TRUE,192.75,FALSE,,,,,,,,
33,Start,986,,,,start,,start,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
34,Handy-Abo,-19.00,,,,event,,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
35,Tabakration ,-90,,,,event,,leisure,5,101,102,3,-31.13,TRUE,,TRUE,,,,,,,,
36,"Internet, Telefon und TV",-50,,,,event,,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
37,Kiosk: Versuchen Sie Ihr Glück im Lotto?,-25,Ja. Ich könnte das Geld gebrauchen. ,"Nein, ich werfe doch kein Geld weg.",,chance,,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
38,Hundefutter,-60,,,,event,,life,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
39,Kein Glück im Lotto,0,,,,event,,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
40,Mahngebühr Rechnungsverzug,-20,,,,event,,life,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
41,"Frau im Internet kennengelernt. Date: Kino, vorher etwas Kleines essen. ",-50,Ja.,Nein.,Sie haben Ihr Date versetzt. ,chance,,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
42,Stabmixer,-39,,,,event,https://www.galaxus.ch/de/s2/product/koenig-black-line-b04103-stabmixer-5979796?gclsrc=aw.ds&gclid=Cj0KCQjwnpXmBRDUARIsAEo71tTghloOjIN1eGv67CL9_sYwfOTLZi57jN8_KA3hHyq19pO911hlR40aAvI8EALw_wcB,life,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
43,Feierabendbier mit Hugo,-6,,,,event,,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
44,Termin in Burgdorf (ohne Halbtax),-23.2,,,,event,SBB,mobility,13,111,112,3,-31.13,TRUE,,TRUE,,,,,,,,
45,Es ist Sommer. Aber Sie brauchen eine neue Jacke für den Winter. Liquidation: günstiges Angebot.,-100,Yes!,Nein. ,Sie haben keine Winterjacke gekauft.,chance,,clothing,,,,3,-31.13,FALSE,,FALSE,,,,,,,,
46,Tradition: Schokolade an die Schwester verschicken,-20,,,,event,,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
47,Hundesteuer,-115,,,,event,,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,
48,Freundin zum Abendessen einladen ,-40,,,,event,,leisure,,,,3,-31.13,TRUE,123.55,FALSE,,,,,,,,
49,Start,986,,,,start,,start,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
50,"Internet, Telefon und TV",-50,,,,event,,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
51,Werkzeug,-10,,,,event,,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
52,Radio- und Fernsehgebühr für drei Monate,-93.25,,,,event,,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
53,Wann waren Sie das letzte Mal in den Ferien? Jetzt mit der Freundin eine Woche nach Südtirol? ,-600,"Ja, das wollte ich schon lange.",Wohl eher nicht.,Sie haben keine Ferien gemacht.,chance,,leisure,,,,4,-31.13,FALSE,,FALSE,,,,,,,,
54,Flasche Wein,-10,,,,event,,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
55,Hundefutter,-60,,,,event,,life,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
56,Wanderschuhe,-120,,,,event,,clothing,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
57,Fidi ist krank. Tierarzt? ,-140,"Ja, sicher.",Wird er schon überleben. ,Sie haben Ihren Hund nicht zum Tierarzt gebracht. ,chance,,leisure,,,,4,-31.13,FALSE,,FALSE,,,,,,,,
58,Tabakration ,-90,,,,event,,leisure,5,101,133,4,-31.13,TRUE,,TRUE,,,,,,,,
59,Handy-Abo,-19.00,,,,event,,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
60,Fidi gestorben. Tierkörper Sammelstelle.,-40,,,,event,,life,57,116,115,4,-31.13,TRUE,,TRUE,,,,,,,,
61,Ihr Rücken ist verspannt. Die Krankenkasse zahlt aber keine Massagen. Trotzdem gehen?,-100,Ja. ,"Nein, das halte ich aus.",Sie haben auf die Rückenmassage verzichtet.,chance,,leisure,,,,4,-31.13,FALSE,,TRUE,,,,,,,,
62,Kebab,-6,,,,event,,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
63,Busticket zum Inselspital (ohne Halbtax),-15,,,,event,,mobility,13,117,118,4,-31.13,TRUE,93.30,TRUE,,,,,,,,
64,Feierabendbier mit Hugo,-5,,,,event,,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,
65,Start,986,,,,start,,start,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
66,Handy-Abo,-19.00,,,,event,,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
67,Tabakration ,-90,,,,event,,leisure,5,101,132,5,-31.13,TRUE,,TRUE,,,,,,,,
68,"Internet, Telefon und TV",-50,,,,event,,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
69,Ihre Matratze schadet dem Rücken. Ein Freund verschenkt eine. Sie müssen aber den Transport bezahlen. ,-80,Ja.,"Autsch, das kann ich mir nicht leisten.",Sie haben keine neue Matratze gekauft.,chance,,life,,,,5,-31.13,FALSE,,FALSE,,,,,,,,
70,Mutter gestorben. Beerdigung in Chur (ohne Halbtax).,-180,,,,event,,mobility,13,119,120,5,-31.13,TRUE,,TRUE,,,,,,,,
71,Anzug für Beerdigung,-120,,,,event,,clothing,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
72,Mahnung Handyrechnung,-20,,,,event,,life,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
73,Jassrunde mit Hugo und Freunden? ,-20,Logo!,Heute ist gerade wieder ganz schlecht.,Sie haben die Jassrunde sausen lassen.,chance,,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
74,Abo für die Kornhausbibliothek (mit KulturLegi),-25,,,,event,,leisure,25,121,122,5,-31.13,TRUE,,TRUE,,,,,,,,
76,Sonnenhut,-25,,,,event,,clothing,57,123,124,5,-31.13,TRUE,,TRUE,,,,,,,,
76,Feierabendbier mit Hugo,-5,,,,event,,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
77,Sie brauchen einen Laptop für Ihre Bewerbungsschreiben. Gutes Angebot: Occasion.,-300,Ja. Endlich. ,Nope. Internetcafé.,Sie haben keinen neuen Laptop gekauft.,chance,,media,21,113,114,5,-31.13,FALSE,,FALSE,,,,,,,,
78,Porto für Bewerbungsschreiben,-5,,,,event,,life,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
79,Kaffee mit Tante,-5,,,,event,,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
80,Massage wegen Rückenschmerzen,-100,,,,event,,life,69,125,126,5,-31.13,TRUE,-82.70,TRUE,,,,,,,,
81,Start,986,,,,start,,start,,,,5,-31.13,TRUE,,FALSE,,,,,,,,
82,Hallenbadeintritt (mit KulturLegi) ,-3,,,,event,,leisure,25,130,131,6,-31.13,TRUE,,TRUE,,,,,,,,
83,Handy-Abo,-19.00,,,,event,,media,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
84,Tabakration ,-10,,,,event,,leisure,5,101,132,6,-31.13,TRUE,,FALSE,,,,,,,,
85,Hochzeit! Ihr Neffe heiratet. Wollen Sie sich am Hochzeitsgeschenk beteiligen?,-50,"Ja, sicher.",Nein.,Sie haben sich nicht am Hochzeitsgeschenk beteiligt. ,chance,,leisure,,,,6,-31.13,FALSE,,FALSE,,,,,,,,
86,Bewerbungen ausdrucken lassen,-10,,,,event,,life,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
87,Handy runtergefallen. Reparatur.,-100,,,,event,,media,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
88,Kaffee und Zeitung,-5,,,,event,,leisure,57,123,127,6,-31.13,TRUE,,FALSE,,,,,,,,
89,Republik-Abo? (reduziert),-120,"Ja, klar.",Nein.,Sie haben sich kein Republik-Abo geleistet.,chance,,media,,,,6,-31.13,FALSE,,TRUE,,,,,,,,
90,YB-Match (mit KulturLegi),-15,,,,event,,leisure,25,128,129,6,-31.13,TRUE,,TRUE,,,,,,,,
91,Fahradbusse,-20,,,,event,,life,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
92,Rennschuhe,-80,,,,event,,leisure,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
93,Langeweile zermürbt. Sollen Sie sich an der Uni Bern als Gasthörer für Geschichte einschreiben?,-250,"Ja, das klingt toll! ","Nein, zu teuer.",Sie haben sich nicht als Gasthörer an der Uni eingeschrieben.,chance,,leisure,,,,6,-31.13,FALSE,,FALSE,,,,,,,,
94,Kaffee mit Tante,-15,,,,event,https://www.sportamt-bern.ch/sportanlage/hirschengraben/#/Preise,leisure,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
95,"Internet, Telefon und TV",-50,,,,event,,media,,,,6,-31.13,TRUE,,FALSE,,,,,,,,
96,Lutschbonbons ,-3.6,,,,event,,leisure,,,,6,-31.13,TRUE,74.70,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
101,Tabakration ,-90,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
102,Nikotinpflaster,-90,,,,event,https://www.zurrose.ch/de/nicorette-invisi-patch-4613082/,life,,,,,-31.13,,,FALSE,,,,,,,,
103,Päckli Kaugummi,-3,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
104,Termin in Thun (ohne Halbtax),-32.8,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
105,Termin in Thun (mit Halbtax),-16.4,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
106,Kein Glück im Lotto,0,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
107,Päckli Kaugummi,-3,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
109,Ihre Mutter lebt in einem Altersheim in Chur. Ihr geht es schlecht. Besuchen? (mit Halbtax),-80,"Ja, schon auf dem Weg.","Sorry Mama, gerade sehr viel zu tun.",Sie haben Ihre kranke Mutter nicht besucht.,chance,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
110,Ihre Mutter lebt in einem Altersheim in Chur. Ihr geht es schlecht. Besuchen? (ohne Halbtax),-160,"Ja, schon auf dem Weg.","Sorry Mama, gerade sehr viel zu tun.",,chance,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
111,Termin in Burgdorf (mit Halbtax),-11.6,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
112,Termin in Burgdorf (ohne Halbtax),-23.2,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
113,Blumenstrauss für Mutter,-20,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
114,Drei T-Shirts,-13.5,,,,event,https://produkte.migros.ch/m-budget-herren-shirt-14-arm-weiss-weiss-s,clothing,,,,,-31.13,,,FALSE,,,,,,,,
115,Fidi gestorben. Tierkörper Sammelstelle.,-40,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
116,Medikamente für Fidi,-40,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
117,Busticket zum Inselspital (mit Halbtax),-4,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
118,Busticket zum Inselspital (ohne Halbtax),-5.2,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
119,Mutter gestorben. Beerdigung in Chur (mit Halbtax).,-80,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
120,Mutter gestorben. Beerdigung in Chur (ohne Halbtax).,-180,,,,event,,mobility,,,,,-31.13,,,FALSE,,,,,,,,
121,Abo für die Kornhausbibliothek (mit KulturLegi),-25,,,,event,,media,,,,,-31.13,,,FALSE,,,,,,,,
122,Abo für die Kornhausbibliothek (ohne KulturLegi),-50,,,,event,,media,,,,,-31.13,,,FALSE,,,,,,,,
123,Hundefutter,-60,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
124,Sonnenhut,-25,,,,event,,clothing,,,,,-31.13,,,FALSE,,,,,,,,
125,Massage wegen Rückenschmerzen,-100,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
126,Päckli Kaugummi,-3,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
127,Kaffee und Zeitung,-5,,,,event,,media,,,,,-31.13,,,FALSE,,,,,,,,
128,YB-Match (mit KulturLegi),-15,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
129,YB-Match (ohne KulturLegi),-30,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
130,Hallenbadeintritt (mit KulturLegi) ,-3,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
131,Hallenbadeintritt (ohne KuturLegi),-7,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
132,Flasche Wein,-10,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
133,Süssigkeiten,-11,,,,event,,leisure,,,,,-31.13,,,FALSE,,,,,,,,
134,Hundetaxe,-115,,,,event,,life,,,,,-31.13,,,FALSE,,,,,,,,
135,Regenschirm,-10,,,,event,,clothing,,,,,-31.13,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,
