id,description,amount,yes,no,outro,source,type,category,dependency,altYes,altNo,month,pauschal,FALSE,,Check Function,,,,,,,,,,,,,,
14,Bier mit Hugo,-12,,,,,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
15,Bratwurst auf dem Markt,-6,,,,,event,leisure,,,,1,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
16,Porto für Bewerbungen,-4,,,,https://apps.post.ch/vsc/#/?lang=de,event,media,,,,1,-31.13,TRUE,-49.75,FALSE,,,,,,,,,,,,,,
17,Start,977,,,,,start,start,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
18,Handy-Abo,-19.00,,,,,event,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
19,,-60,,,,,event,life,5,101,102,2,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
20,Eintritt fürs Zentrum Paul Klee (mit KulturLegi),-10,,,,https://www.zpk.org/de/besucherinfoshop/oeffnungszeiten-preise-114.html,event,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
21,Apropos Kulturlegi: Die muss verlängert werden.,-20,"Ja, klar. Lohn sich. ",Zu teuer. ,Sie haben Ihre Kultur-Legi nicht verlängert.,,chance,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
22,Bewerbungen ausdrucken lassen,-10,,,,https://docs.google.com/spreadsheets/d/1rO5fqHWe_ckiqbkSO3EOC5ho_kRUV7gM8zTF3m1zdf0/edit#gid=933186025,event,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
23,Badehosen und Flipflops,-30,,,,,event,clothing,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
24,Erde und Töpfe für Pflanzen ,-15,,,,https://www.bauundhobby.ch/ratgeber/garten/blumenerden/die-richtige-erde.html,event,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
25,Geburtstag! Ihre Patentochter wird zehn. Sie möchten mit ihr den Tierpark Dählhölzli besuchen.,-20,Einladen!,Hmmm ... heute wohl eher nicht.,Sie konnten Ihre Patentochter nicht in den Zoo einladen.,,chance,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
26,YB-Match und Meisterfeier (mit KulturLegi),-17.5,,,,https://www.bscyb.ch/verkaufsstellen,event,leisure,21,107,108,2,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
27,"Internet, Telefon und TV",-49.8,,,,,event,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
28,Neue Socken,-19.85,,,,https://www.coopathome.ch/de/supermarkt/sch%C3%B6nheit-hygiene-bekleidung-baby/bekleidung/socken-unterw%C3%A4sche/naturaline-socken-men-schwarz-gr%C3%B6sse-40-42/p/6295082001,event,clothing,,,,1,-31.13,TRUE,,FALSE,Neue Socken,-29.85,,,,https://www.coopathome.ch/de/supermarkt/sch%C3%B6nheit-hygiene-bekleidung-baby/bekleidung/socken-unterw%C3%A4sche/naturaline-socken-men-schwarz-gr%C3%B6sse-40-42/p/6295082001,event,clothing,,,,1,-31.13,TRUE
29,Sie möchten Ihr Französisch auffrischen. Sie wollen sich dafür eine Sprach-App leisten. ,-89.4,Leiste ich mir. ,Viel zu teuer. ,Sie haben auf den Französischkurs verzichtet.,,chance,media,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
30,Porto für Bewerbungen,-5,,,,,event,leisure,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
31,Bruder besuchen in Interlaken (mit Halbtax),-28,,,,SBB,event,mobility,,,,2,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
32,Jassrunde im Café des Pyrénées,-22,,,,,event,leisure,,,,2,-31.13,TRUE,13.70,FALSE,,,,,,,,,,,,,,
33,Start,977,,,,,start,start,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
34,Handy-Abo,-19.00,,,,,event,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
35,Hundefutter,-60,,,,,event,life,5,101,103,3,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
36,Neue Unterwäsche,-22,,,,https://produkte.migros.ch/sortiment/supermarkt/bekleidung-accessoires/herren/unterwaesche?facets=brand~m-budget,event,clothing,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
37,Der Männerchor macht am 1. August ein Reisli ins Oberland. Gehen Sie mit?,-80,Ist das eine Frage? ,Nein. Das liebe Geld!,,,chance,leisure,9,109,110,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
38,Schnupper-Abo SonntagsBlick,-17.9,,,,https://abo.blick.ch/?gclid=Cj0KCQjw4-XlBRDuARIsAK96p3BvxfyqeesE4BbsB0XUWa5jwr0jZbZzbTibWu7zljhENLQvBH0uDQEaAnkIEALw_wcB,event,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
39,Verlängertes Wochenende beim Bruder,-28,,,,SBB,event,mobility,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
40,"Internet, Telefon und TV",-50,,,,,event,media,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
41,Wollen Sie Ihr Halbtax-Abo verlängern?,-165,Ja.,Nein.,Sie haben Ihr Halbtax-Abo nicht verlängert.,,chance,mobility,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
42,Wein als Gastgeschenk,-15,,,,,event,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
43,Termin in Burgdorf (mit Halbtax),-11.6,,,,SBB,event,mobility,41,115,116,3,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
44,Glace mit Göttikind,-6,,,,,event,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
45,Kiosk: Versuchen Sie Ihr Glück im Lotto?,-15,Wer weiss? Vielleicht habe ich ja Glück.,"Nein, Geldverschwendung!",,,chance,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
46,Tradition: Schokolade an die Schwester verschicken,-20,,,,https://www.post.ch/de/privat/themen-a-z/preise-versenden-und-empfangen/privat-preise-versenden/preise-briefe-ausland-privat,event,leisure,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
47,Wanderschuhe ,-147.4,,,,https://www.sportxx.ch/de/c/2601092484/bekleidung-schuhe/schuhe/trekking-wanderschuhe,event,clothing,,,,3,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
48,Gewinn im Lotto!,100,,,,https://www.kornhausbibliotheken.ch/Service/Ausleihe-Geb%C3%BChren,event,leisure,45,121,122,3,-31.13,TRUE,-64.20,TRUE,,,,,,,,,,,,,,
49,Start,977,,,,,start,start,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
50,Lottogewinn abgezogen. Sie dürfen kein Geld verdienen. ,-100,,,,,event,leisure,45,127,128,4,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
51,Zugbillett für 1.-August-Reisli nach Adelboden (mit Halbtax),-37.2,,,,SBB,event,mobility,41,117,118,4,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
52,Grundgebühr Handy-Abo,-19.00,,,,,event,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
53,Portemonnaie im Zug liegen gelassen. Suchauftrag?,-50,Ja. Daumen drücken!,Kann ich mir nicht leisten.,Sie haben keinen Suchauftrag aufgegeben.,,chance,life,,,,4,-31.13,FALSE,,FALSE,,,,,,,,,,,,,,
54,Portemonnaie nicht gefunden. Neues Passfoto.,-10,,,,,event,life,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
55,Neue Identitätskarte,-70,,,,https://www.pom.be.ch/pom/de/index/zivilstand-pass-id/schweizer-pass-identitaetskarte/preise_gueltigkeit.html ,event,life,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
56,"Bankkarte, Fahrausweis, Bargeldverlust",-100,,,,,event,life,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
57,Verwandte aus den USA sind in der Stadt. Zu Hause zum Abendessen einladen?,-50,Mach ich. ,Dafür reicht das Geld nicht. Sorry.,Sie haben Ihre Familie nicht zum Abendessen eingeladen.,,chance,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
58,Saisonauftakt im Stade de Suisse (mit KulturLegi),-17.5,,,,,event,leisure,21,111,112,4,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
59,"Internet, Telefon und TV",-50,,,,,event,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
60,Hundefutter,-60,,,,,event,life,5,101,103,4,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
61,Feierabendbier mit Ihrem besten Freund Hugo? ,-5,Klaro.,Heute ist gerade ganz schlecht.,Sie haben mit Ihrem besten Freund kein Feierabendbier getrunken.,,chance,leisure,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
62,Fidi geht es schlecht. Tierarzt!,-140,,,,,event,leisure,5,106,105,4,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
63,Radio- und Fernsehgebühr für drei Monate,-93.25,,,,,event,media,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
64,Hundesteuer,-115,,,,,event,leisure,5,129,130,4,-31.13,TRUE,-452.15,TRUE,,,,,,,,,,,,,,
65,Start,977,,,,,start,start,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
66,Grundgebühr Handy-Abo,-19.00,,,,,event,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
67,Hundefutter,-60,,,,,event,life,5,101,104,5,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
68,"Internet, Telefon und TV",-50,,,,,event,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
69,Gutes Angebot: Occasions-Laptop. Sie brauchen ihn für Ihre Bewerbungsschreiben.,-300,Ja. Endlich. ,Nein. Ich muss wohl weiterhin ins Internetcafé.,Sie haben den Laptop nicht gekauft,,chance,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
70,Porto für Bewerbungen,-5,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
71,Schreibmaterialien ,-10,,,,,event,life,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
72,Döner Kebab,-6,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
73,"Frau im Internet kennengelernt. Date: Kino, vorher etwas Kleines essen. ",-50,"Ja, das wird toll. ",Zu teuer – und ich kann mich doch nicht einladen lassen.,Sie haben Ihr Date versetzt.,,chance,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
74,Blumenstrauss für das Date,-15,,,,,event,life,73,123,124,5,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
75,Anzug aus dem Brockenhaus für das Date,-25,,,,,event,clothing,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
76,Bewerbungen ausdrucken lassen,-5,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
77,Abo für die Kornhausbibliothek (mit KulturLegi),-25,Ja!,Nein!,Sie haben Ihr Bibliotheksabo nicht verlängert.,,chance,leisure,21,113,114,5,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
78,Cappuccino mit Tante,-5,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
79,Busbillett zum Inselspital (mit Halbtax),-4,,,,SBB,event,mobility,41,119,120,5,-31.13,TRUE,-557.15,TRUE,,,,,,,,,,,,,,
80,Feierabendbier mit Hugo,-5,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
81,Start,977,,,,,start,start,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
82,Grundgebühr Handy-Abo,-19.00,,,,,event,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
83,Hundefutter,-60,,,,,event,leisure,5,101,103,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
84,"Internet, Telefon und TV",-50,,,,,event,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
85,Langeweile zermürbt. Wollen Sie sich an der Uni Bern als Gasthörer für Geschichte einschreiben? ,-250,"Ja, das wird spannend!","Nein, lieber nicht.",Sie haben sich nicht als Gasthörer an der Uni eingeschrieben.,,chance,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
86,Pullover,-30,,,,,event,clothing,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
87,Pflanzen einwintern,-15,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
88,Termin in Fribourg (mit Halbtax),-14.2,,,,,event,media,41,125,126,5,-31.13,TRUE,,TRUE,,,,,,,,,,,,,,
89,Republik-Abo? (reduziert),-120,Yay!,Nay!,Sie haben aufs Republik-Abo verzichtet. ,,chance,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
90,Porto Briefe,-7,,,,,event,media,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
91,Kaffee und Zeitung,-5,,,,,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
92,Schulden Hugo,-34,,,,,event,life,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
93,Jassrunde mit Hugo und Freunden? ,-20,Unbedingt!,"Sorry, bin etwas erkältet.",Sie haben die monatliche Jassrunde abgesagt.,,chance,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
94,Neuer Bettbezug,-19.8,,,,https://produkte.migros.ch/sortiment/micasa/accessoires-textilien/schlafen/bettwaesche,event,clothing,,,,4,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
95,Teekerzen,-10,,,,https://www.coopathome.ch/de/supermarkt/haushalt-reinigung-mobile/haushalt-k%C3%BCche/kerzen-anz%C3%BCndhilfen/c/m_0301,event,leisure,,,,5,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
96,Neue Duschbrause,-24.9,,,,https://produkte.migros.ch/nikles-handbrause-fresh-75,event,life,,,,5,-31.13,TRUE,-757.05,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
101,Hundefutter,-60,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
102,Kautabak,-6,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
103,Kaffee und Zeitung,-5,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
104,Neues Veloschloss,-15,,,,https://www.bauundhobby.ch/hobby-sport/velo-zubehoer/velozubehoer/veloschloesser/abus-kettenschloss-1200-web-schwarz/p/5712199,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
105,Kräuter für Balkon,-10,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
106,Fidi geht es schlecht. Tierarzt!,-140,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
107,YB-Match und Meisterfeier (mit KulturLegi),-17.5,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
108,YB-Match und Meisterfeier (ohne KulturLegi),-35,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
109,Der Männerchor macht am 1. August ein Reisli ins Oberland. Gehen Sie mit?,-80,Ist das eine Frage? ,Nein. Das liebe Geld!,,,chance,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
110,Hugo hat einen Wanderausflug mit Übernachtung geplant. Gehen Sie mit?,-100,Ist das eine Frage? ,Nein. Das liebe Geld!,,,chance,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
111,Saisonauftakt im Stade de Suisse (mit KulturLegi),-17.5,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
112,Saisonauftakt im Stade de Suisse (ohne KulturLegi),-35,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
113,Abo für die Kornhausbibliothek (mit KulturLegi),-25,Ja!,Nein!,Sie haben Ihr Bibliotheksabo nicht verlängert.,,chance,media,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
114,Abo für die Kornhausbibliothek (ohne KulturLegi),-50,Ja!,Nein!,Sie haben Ihr Bibliotheksabo nicht verlängert.,,chance,media,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
115,Termin in Burgdorf (mit Halbtax),-11.6,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
116,Termin in Burgdorf (ohne Halbtax),-23.2,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
117,Zugbillett für 1.-August-Reisli nach Adelboden (mit Halbtax),-37.2,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
118,Zugbillett für 1.-August-Reisli nach Adelboden (ohne Halbtax),-74.4,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
119,Busbillett zum Inselspital (mit Halbtax),-4,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
120,Busbillett zum Inselspital (ohne Halbtax),-5.2,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
121,Gewinn im Lotto!,100,,,,,event,leisure,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
122,Nachbarn beim Streichen geholfen,60,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
123,Blumenstrauss für das Date,-15,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
124,Bei Hugo Schulden zurückzahlen,-15,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
125,Termin in Fribourg (mit Halbtax),-14.2,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
126,Termin in Fribourg (ohne Halbtax),-28.4,,,,,event,mobility,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
127,Lottogewinn abgezogen. Sie dürfen kein Geld verdienen. ,-100,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
128,Lohn vom Streichen abgezogen. Sie dürfen kein Geld verdienen.,-60,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
129,Hundesteuer,-115,,,,,event,life,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
130,Regenschirm,-10,,,,,event,clothing,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,-31.13,TRUE,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,
