OBJEKTART,UUID,NAME,MIN_E,MIN_N,MIN_Z,MAX_E,MAX_N,MAX_Z,SKIGEBIET,2005 mid,2005 bottom,2005 top,2035 mid,2035 bottom,2035 top,2060 mid,2060 bottom,2060 top,2085 mid,2085 bottom,2085 top
Skilift,{2AEC98DB-BBBB-446B-B765-287ABC5A20DF},Laxeralp II,650566,139531,2179,650283,139925,2288,Aletsch Arena,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Gondelbahn,{415D8B18-05E9-4AF4-A3FF-669446C8D5F8},Moosfluh,646254,136855,1890,646888,138452,2340,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{16BCEB91-6EDB-473F-B2BC-8D263D555973},Riederfurka,645037,136150,1880,644387,136097,2122,Aletsch Arena,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{D3BC2E21-9122-47CA-AEE6-1E541AE3D80C},Schweibe,647255,137131,1925,647037,137559,2076,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Sesselbahn,{BA8092E0-1CC7-4903-A353-CD6168100978},Talegga,651103,140484,2210,650624,142130,2729,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Skilift,{9609E069-77C2-48A2-81BF-3883A56488F6},Tanzbode,648002,138020,1984,647776,137974,2019,Aletsch Arena,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{42F22B2D-C741-4B1F-A32A-4C1428AA628A},Trainer,647657,137764,1980,647693,137994,2034,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Skilift,{2315A1CB-75AB-40F7-B05F-D61C912D6E4D},Trainerlift I,650891,140214,2212,650890,140487,2268,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Skilift,{7943C816-BEE5-4151-A772-767067A548D4},Trainerlift II,650896,140213,2212,650895,140487,2268,Aletsch Arena,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Sesselbahn,{DDD4666D-BBBB-48B8-8CC4-65D4E059A233},Wurzenbord,648398,138024,1967,649248,138598,2225,Aletsch Arena,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{84EED2BC-2190-4F5C-9F6B-8A88D9BC0C43},Arven,732035,223207,1245,731924,223796,1357,Amden,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Skilift,{C8F4A615-D5C0-4CA3-9938-D6FDD9DBD26B},Bärenfall,729952,224836,1261,729615,225906,1654,Amden,yellow,yellow,green,yellow,yellow,yellow,yellow,red,yellow,red,red,red
Skilift,{D282EC2F-DA59-4AD1-96F9-9CF57587210C},Leistkamm,732022,222924,1233,732816,222986,1370,Amden,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red,red,red,red
Sesselbahn,{DBA84CB8-B148-4DCF-990F-ACDBA9F5CF96},Mattstock,729277,223509,938,729481,224824,1296,Amden,yellow,red,yellow,red,red,yellow,red,red,red,red,red,red
Skilift,{31CA237A-C768-4622-A8C0-04CB82541637},Sell,731028,223787,1163,731538,223706,1350,Amden,yellow,yellow,yellow,yellow,red,yellow,red,red,red,red,red,red
Luftseilbahn,{CC1B9054-5CCC-4BD1-9D76-5C360CF9CDDB},Andermatt-Gurschen,688302,165236,1444,688829,163673,2221,Andermatt-Sedrun,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Gondelbahn,{C73AF555-282E-4022-B699-7E4709268935},Andermatt-Nätschen-Gütsch,688567,165824,1441,690520,167902,2366,Andermatt-Sedrun,green,yellow,green,yellow,yellow,green,yellow,yellow,green,red,red,yellow
Sesselbahn,{42AEB0BF-1075-4F8C-ADFD-F72617CE63E5},Dieni-Milez,699866,169489,1452,697941,169200,1881,Andermatt-Sedrun,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Luftseilbahn,{4C85AA77-188F-4492-B0BB-E2A7EFB9216D},Gurschen-Gemsstock,688846,163676,2220,689873,161892,2958,Andermatt-Sedrun,green,green,green,green,green,green,green,green,green,green,yellow,green
Sesselbahn,{9ECA33A3-9BCD-43A0-BCD9-7D6478B0BE86},Gurschengrat,688900,164365,2024,688736,163499,2290,Andermatt-Sedrun,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Sesselbahn,{9AAFB035-8669-4C64-A4E9-63460995EB72},Hinterbördli-Strahlgand,691506,167906,2141,691733,168709,2408,Andermatt-Sedrun,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{1D383AD9-EC03-4D1A-A7C5-247276930C69},Lutersee,689226,164150,2031,690157,163459,2406,Andermatt-Sedrun,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Sesselbahn,{15757523-E0AF-428B-B709-BD1413F25D7E},Mulinatsch-Cuolm Val,698791,169528,1660,696756,169314,2214,Andermatt-Sedrun,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{B32CD0B8-4A61-4057-84F0-5C01CD9559E7},Oberalp-Calmut,694418,168276,2050,695310,168263,2308,Andermatt-Sedrun,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Luftseilbahn,{E1C94CF7-53C1-47C4-8B5F-FD0A62394150},Oberalppass-Schneehühnerstock,694384,168377,2049,693138,169516,2648,Andermatt-Sedrun,green,green,green,green,green,green,green,yellow,green,yellow,yellow,green
Skilift,{51DBF3DE-F9BE-4F5D-BECC-7F20A540D558},Planatsch-Milez,698878,169155,1712,697909,169074,1880,Andermatt-Sedrun,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{47FC48B6-B3C3-4BCB-90BD-7D446097C754},Tegia Gronda,697470,168946,2018,696736,169221,2202,Andermatt-Sedrun,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Sesselbahn,{0D96B29A-94C2-45C3-8083-A3A34AAD1559},Unterstafel-Gütsch,690995,167549,2164,690600,167902,2367,Andermatt-Sedrun,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{708B4FCC-EB1A-4E4A-8F7D-5E02E34799D8},Val Val-Calmut,696011,168717,1950,695283,168330,2298,Andermatt-Sedrun,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{360BB642-0C7C-428B-BEE0-F11F3D031A5A},Val Val-Cuolm Val,696037,168729,1950,696632,169045,2189,Andermatt-Sedrun,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Skilift,{8AFC630A-E4C5-45CA-881C-F8EEFC1E8AA1},Valtgeva I,701707,170886,1452,701687,171464,1542,Andermatt-Sedrun,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{8C76E2DF-EB97-4EE9-9F0F-024A9A58B528},Valtgeva III (Strem),701462,170964,1454,701614,171362,1518,Andermatt-Sedrun,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{8BB5C018-93E5-4FC2-AAB6-40B321FB8883},Anzère-Pas de Maimbré,596621,127114,1554,595931,128979,2366,Anzère,green,yellow,green,yellow,yellow,green,yellow,yellow,green,red,red,yellow
Skilift,{E64E666A-836B-473E-A2D0-6033B202FBE3},Cuvette,596024,129188,2338,595920,129140,2367,Anzère,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Sesselbahn,{33416AD5-6C69-4471-8887-7AA6DA47C2DB},Duez-Le Bâté,597072,129579,2114,597227,130580,2415,Anzère,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{9FB536F0-5AED-4328-8233-D3DEE03CE2A0},Grillesse,597972,128669,1693,596969,129846,2194,Anzère,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{42B1CA9C-BF5D-4D9A-97C4-18537FA3E876},La Combe,596893,129517,2099,595919,129287,2378,Anzère,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Skilift,{86017997-8BE9-40F8-B335-B7DB2F0D9180},Les Luis,597035,128479,1895,595917,128818,2311,Anzère,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Sesselbahn,{C0DD74DA-3F1D-4C0E-AA88-7E667F6CCBA3},Les Rousses-Le Baté,599850,131249,1777,597230,130591,2418,Anzère,green,green,green,green,yellow,green,green,yellow,green,yellow,red,green
Skilift,{23C2DC78-33B1-4A87-AF8D-D88873B4F1D5},Tsalan,597310,128662,1892,596488,129356,2222,Anzère,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{7983C6A0-74F9-4A40-8C8F-4DFDC7025238},Tsalan Ecole,597050,128652,1946,596896,128800,1986,Anzère,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{ADCADC60-E184-4444-A7FE-0EE1CF06E12C},Turin,595682,128938,2258,595903,129250,2377,Anzère,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Skilift,{12969749-FAB7-4CBD-86BA-DB8C8CE85E7A},Fontanesses 1,603256,96673,1987,601360,96210,2470,Arolla,green,green,green,green,green,green,green,yellow,green,yellow,yellow,green
Skilift,{4E9C7AC3-F090-43F1-B97D-B5582D006452},Fontanesses 2,603286,96520,1995,602649,96501,2183,Arolla,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{EF7152E6-2BA9-4A2D-8978-0F204881ECEA},Fontanesses 3,601305,96094,2463,600901,97546,2880,Arolla,green,green,green,green,green,green,green,green,green,green,yellow,green
Skilift,{4990130D-658A-429D-B863-D009745166D2},Gitza,603148,97317,2079,602565,97322,2323,Arolla,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Luftseilbahn,{F7AFFB5A-5173-4957-B054-BEC0DF905C30},Les Follisses,603459,96196,1992,602729,95753,2395,Arolla,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Skilift,{B18E44BA-956B-4F22-BF78-2FE06C53E6B0},Remointze,602063,96397,2370,601708,96897,2581,Arolla,green,green,green,green,green,green,green,green,green,yellow,yellow,yellow
Skilift,{41385F2F-571E-4A40-9EEF-D3CC39AC1FB3},Torrent,603260,96681,1988,603081,96641,2030,Arolla,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{F6A4EACF-F82C-4991-9D8E-88FC9024326B},Brüggerhorn,769828,184149,2018,768846,184926,2447,Arosa-Lenzerheide,green,green,green,green,green,green,green,yellow,green,yellow,yellow,yellow
Sesselbahn,{C2998972-0422-44D5-9E0B-D3B8406C0B56},Carmenna,769579,183210,1907,767749,184052,2518,Arosa-Lenzerheide,green,green,green,green,yellow,green,green,yellow,green,yellow,red,yellow
Sesselbahn,{C63013D8-F15B-4346-B0E4-F186C911E1D1},Hörnli,767756,182325,2152,766694,181812,2499,Arosa-Lenzerheide,green,green,green,green,green,green,green,green,green,yellow,yellow,green
Gondelbahn,{C7EA9B1B-E433-437E-8C48-44A25698D08A},Hörnli Express,769594,182568,1834,766693,181865,2501,Arosa-Lenzerheide,green,green,green,green,green,green,green,yellow,green,yellow,yellow,green
Gondelbahn,{CC6B92E7-6A8A-4B68-B82D-8A521E3ED641},Kulm,769902,183109,1851,769924,183647,2054,Arosa-Lenzerheide,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Sesselbahn,{CC05F150-D12E-4EF6-8155-3B041EF1B8C7},Plattenhorn,768820,182833,2008,767410,182904,2312,Arosa-Lenzerheide,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Skilift,{A32ADD79-A7C8-4E37-AD6F-7DB910DFD19A},Prätschli,770666,184527,1903,770352,184542,1945,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{374AD050-8CC5-4903-9B83-5F0D9D8F7B43},Ried,769598,183578,1963,769762,183917,2023,Arosa-Lenzerheide,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{1912FB0E-315F-44F4-80E6-A5407BD21ED2},Tomeli,770289,184361,1922,769953,183750,2054,Arosa-Lenzerheide,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Sesselbahn,{3F367343-16FD-4614-851C-976C7F70B172},Tschuggen-Ost,771002,183750,1752,770130,183719,2051,Arosa-Lenzerheide,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Skilift,{29F5EFE8-BD3B-4E1E-A51C-40BB28869B3B},Tschuggen-West,769599,183565,1963,769978,183690,2050,Arosa-Lenzerheide,green,green,green,green,yellow,green,yellow,yellow,yellow,yellow,red,yellow
Luftseilbahn,{7E677CE5-08A1-4634-AB4D-27C014CA5CD3},Weisshorn 1.Sektion,771021,183820,1758,769859,184086,2020,Arosa-Lenzerheide,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Luftseilbahn,{5B13EDBE-14B1-4847-B4E2-728657A3CDC1},Weisshorn 2.Sektion,769836,184113,2022,768001,184368,2645,Arosa-Lenzerheide,green,green,green,green,green,green,green,yellow,green,yellow,yellow,green
Skilift,{97C4421F-9A00-4786-88B7-F5346EF55DF6},Crappa Grossa,763144,179019,1910,763565,179221,2066,Arosa-Lenzerheide,green,green,green,yellow,yellow,green,yellow,yellow,yellow,red,red,yellow
Skilift,{C9E7974F-E971-4EC4-95C4-617AB2F82A3D},Crestas,761736,176726,1450,761118,176475,1593,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{555809EE-A705-49E1-9539-AC0D95A4A05A},Cumascheals,760415,179684,1748,758866,179658,2287,Arosa-Lenzerheide,green,green,green,green,yellow,green,green,yellow,green,yellow,red,yellow
Skilift,{601756A9-C6D7-4493-B606-75AC386724ED},"Fadail, linke Spur",761101,177935,1490,760916,177610,1549,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{0271052A-7BA1-40D6-95FC-1A5EA2FF5D39},"Fadail, rechte Spur",761098,177945,1490,760911,177613,1549,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{11AAC864-0C4C-4AF3-8164-96C4489A9728},Gertrud,759178,177800,1983,758274,177848,2277,Arosa-Lenzerheide,green,green,green,green,yellow,green,yellow,yellow,green,yellow,red,yellow
Gondelbahn,{AF984D89-A772-4465-A4DC-82061916EA5D},Heidbüel,760586,182816,1248,759880,181434,1935,Arosa-Lenzerheide,green,yellow,green,yellow,yellow,green,yellow,red,yellow,red,red,yellow
Sesselbahn,{8281AAA4-9B7B-4407-9B70-0565E174D3E9},Heimberg,762327,180838,1504,763619,180363,2006,Arosa-Lenzerheide,green,green,green,yellow,yellow,green,yellow,yellow,green,red,red,yellow
Sesselbahn,{CF00C48C-9E56-49EC-BF49-EFCADF8FE96F},Motta,763620,180391,2003,764307,180952,2288,Arosa-Lenzerheide,green,green,green,green,green,green,yellow,yellow,green,yellow,yellow,yellow
Sesselbahn,{28E1F078-209B-42AB-8EA0-9F742227E381},Parpan-Obertor,761834,180589,1548,761901,180578,1558,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Sesselbahn,{6B4E0C17-7E48-4A47-B78F-FEEF20933AA2},Pedra Grossa,760638,177810,1534,759214,177865,1988,Arosa-Lenzerheide,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Skilift,{384C4B8F-95B5-43F9-8273-BDFE2B1F3108},Proschieri,761476,180862,1495,760961,180674,1693,Arosa-Lenzerheide,green,green,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
Gondelbahn,{5E6E38A3-454A-4BAE-9058-F43BC7AA774F},Rothorn 1,761844,178742,1500,763038,179052,1906,Arosa-Lenzerheide,green,yellow,green,yellow,yellow,yellow,yellow,yellow,yellow,red,red,red
